Name,Location,RSVP,Past_Attendance,Attended,Distance
Varun Menon,"Vilnius, Lithuania",No,Yes,Yes,6312.78
Nirav Das,Dumka,No,Yes,Yes,1811.65
Ojas Yadav,"Stockholm, Sweden",Yes,No,Yes,6928.45
Heena Jha,"San Diego, USA",Yes,No,Yes,14796.67
Lalit Mehta,Patna,Yes,Yes,Yes,1770.09
Nandini Reddy,"Beijing, China",No,Yes,Yes,5054.52
Bhavesh Shetty,"Brisbane, Australia",Yes,No,Yes,9533.1
Kavita Bhatt,"Santiago, Chile",No,No,Yes,15855.3
Eshita Kapoor,Rewari,No,Yes,Yes,1701.76
Hina Reddy,"Luxembourg City, Luxembourg",No,Yes,Yes,7394.2
Mohan Khan,Amritsar,No,Yes,Yes,2073.25
Aditi Prasad,Dhamtari,No,No,Yes,1115.76
Dilip Prasad,"Melbourne, Australia",No,No,Yes,9201.73
Varun Menon,Mau,Yes,No,Yes,1711.52
Eshwar Reddy,Yamunanagar,No,No,Yes,1921.94
Zubin Kapoor,Rohtak,Yes,No,Yes,1779.08
Nikhil Jha,Mussoorie,Yes,No,Yes,1970.64
Ekta Chauhan,"Bali, Indonesia",Yes,Yes,Yes,5036.11
Madhav Mishra,Surat,Yes,Yes,Yes,942.96
Faisal Bhatt,Dehradun,No,Yes,Yes,1955.72
Rajesh Das,"Madrid, Spain",Yes,Yes,Yes,8127.57
Keshav Sharma,"Manchester, UK",Yes,Yes,Yes,8010.68
Faisal Bhatt,Jammu,Yes,No,Yes,2193.33
Leela Deshmukh,Kolkata,Yes,Yes,Yes,1785.47
Harini Thakur,Jammu,No,No,Yes,2193.33
Harsha Thakur,Asansol,No,Yes,Yes,1748.26
Deepika Goswami,"Guangzhou, China",Yes,No,Yes,4206.65
Pooja Sharma,"Munich, Germany",Yes,Yes,Yes,6973.19
Advik Gupta,Beawar,No,No,Yes,1460.73
Uday Sharma,Bhubaneswar,Yes,Yes,Yes,1425.5
Uma Das,Visakhapatnam,Yes,Yes,Yes,1048.75
Deepak Deshmukh,"Algiers, Algeria",Yes,No,Yes,7547.94
Bharat Jha,"Medellín, Colombia",Yes,Yes,Yes,16131.4
Umesh Nair,"Bologna, Italy",Yes,Yes,Yes,6918.04
Madhur Deshmukh,"Calgary, Canada",No,No,Yes,12866.2
Nikhil Verma,Durgapur,No,Yes,Yes,1765.71
Prerna Mehta,"Budapest, Hungary",Yes,Yes,Yes,6414.19
Harish Sharma,"Alexandria, Egypt",Yes,Yes,Yes,5019.65
Raghav Rao,"Osaka, Japan",Yes,No,Yes,6528.98
Damini Sinha,"Vienna, Austria",Yes,Yes,Yes,6627.98
Pooja Sharma,Saharanpur,No,Yes,Yes,1909.93
Meera Khan,Rudrapur,Yes,Yes,Yes,1838.92
Chandan Das,"Chengdu, China",Yes,No,Yes,3584.46
Ritika Naidu,"Calgary, Canada",Yes,No,Yes,12866.2
Eklavya Chauhan,Bharatpur,Yes,No,Yes,1582.68
Karan Thakur,Ujjain,Yes,Yes,Yes,1141.32
Kiran Reddy,"Denver, USA",No,Yes,Yes,14175.12
Girish Menon,"Amsterdam, Netherlands",No,Yes,Yes,7521.79
Lokesh Gupta,Bangalore,Yes,No,Yes,300.3
Zubin Kapoor,Navsari,No,Yes,Yes,912.85
Uday Yadav,Noida,Yes,Yes,Yes,1752.31
Bhaskar Kapoor,"Santiago, Chile",Yes,No,Yes,15855.3
Mitali Mehta,"Madrid, Spain",No,Yes,Yes,8127.57
Aarav Patel,Agartala,No,Yes,Yes,2111.76
Saurabh Naidu,"Riga, Latvia",No,Yes,Yes,6494.43
Ishan Nair,Bikaner,Yes,No,Yes,1679.63
Ekta Chauhan,"São Paulo, Brazil",Yes,No,Yes,13773.18
Lakshay Yadav,Nellore,Yes,No,Yes,580.49
Kavita Bhatt,Singapore,No,No,Yes,3439.48
Yash Thakur,"Asunción, Paraguay",Yes,No,Yes,14876.29
Kamal Jha,Lohardaga,No,Yes,Yes,1564.22
Tanmay Chauhan,"Algiers, Algeria",Yes,No,Yes,7547.94
Gopal Jha,"Geneva, Switzerland",No,Yes,Yes,7347.1
Kamal Jha,"São Paulo, Brazil",No,No,Yes,13773.18
Urvashi Verma,Sitapur,Yes,No,Yes,1730.86
Darshan Desai,"Auckland, New Zealand",Yes,Yes,Yes,11738.38
Darshan Desai,"Bucharest, Romania",No,No,Yes,5785.14
Ramesh Iyer,Nashik,Yes,No,Yes,793.59
Omkar Prasad,"Geneva, Switzerland",Yes,No,Yes,7347.1
Hardik Reddy,Midnapore,No,No,Yes,1688.8
Tushar Khan,Kavaratti,No,No,Yes,354.64
Ishaan Rao,"Bristol, UK",No,No,Yes,8027.0
Vaishali Yadav,Almora,No,Yes,Yes,1918.02
Yashwant Iyer,"Berlin, Germany",Yes,Yes,Yes,6958.28
Yuvraj Chauhan,"Kampala, Uganda",No,No,Yes,4867.14
Nikhil Jha,Kota,Yes,Yes,Yes,1361.15
Pranav Shetty,Bhilwara,Yes,No,Yes,1393.12
Lokesh Gupta,"New York City, USA",Yes,Yes,Yes,13261.27
Deepika Goswami,"Belo Horizonte, Brazil",Yes,No,Yes,13483.85
Farzana Sinha,"London, UK",No,No,Yes,7856.87
Farzana Sinha,"Budapest, Hungary",Yes,Yes,Yes,6414.19
Zohra Das,"Porto Alegre, Brazil",No,No,Yes,14186.38
Ipsita Aggarwal,"Copenhagen, Denmark",Yes,Yes,Yes,7105.24
Yasmin Mishra,"Madrid, Spain",No,Yes,Yes,8127.57
Neha Sharma,Satna,No,No,Yes,1445.13
Uday Sharma,"Tunis, Tunisia",Yes,Yes,Yes,6912.56
Raghav Reddy,"Belo Horizonte, Brazil",Yes,No,Yes,13483.85
Nandini Reddy,Banda,No,No,Yes,1510.53
Jatin Iyer,Hyderabad,Yes,Yes,Yes,627.06
Aaditya Sharma,"Lyon, France",Yes,No,Yes,7443.65
Meera Reddy,Bangalore,No,Yes,Yes,300.3
Om Gupta,Midnapore,Yes,No,Yes,1688.8
Meera Khan,Chandigarh,Yes,No,Yes,1983.09
Oma Nair,Moradabad,No,Yes,Yes,1814.51
Barkha Shetty,Firozabad,Yes,Yes,Yes,1624.97
Chhavi Nair,Tinsukia,Yes,Yes,Yes,2674.85
Yash Das,Gwalior,No,No,Yes,1511.19
Prakash Rao,Tezpur,Yes,No,Yes,2407.76
Oorja Rao,"Budapest, Hungary",Yes,No,Yes,6414.19
Pankaj Mishra,Sehore,No,No,Yes,1152.99
Jagdish Sinha,"Krakow, Poland",No,Yes,Yes,6441.84
Aakash Goswami,Jaunpur,Yes,No,Yes,1634.96
Bhavin Joshi,"Brasília, Brazil",Yes,Yes,Yes,14373.09
Esha Jha,"Pretoria, South Africa",Yes,No,Yes,6622.74
Tarun Shetty,"Zurich, Switzerland",No,No,Yes,7182.56
Abhinav Singh,Kurukshetra,Yes,Yes,Yes,1899.65
Aditi Prasad,"Bologna, Italy",No,No,Yes,6918.04
Bhavna Thakur,Allahabad (Prayagraj),Yes,No,Yes,1567.71
Lata Gupta,"Incheon, South Korea",No,No,Yes,5799.64
Dhanush Menon,Banda,Yes,No,Yes,1510.53
Trisha Iyer,"Montevideo, Uruguay",No,Yes,Yes,14546.1
Pranav Deshmukh,Patna,Yes,No,Yes,1770.09
Uma Das,Sivasagar,No,Yes,Yes,2584.53
Dhanush Menon,Ludhiana,No,No,Yes,1995.3
Gopal Deshmukh,Ahmedabad,Yes,No,Yes,1144.31
Pranav Deshmukh,Mumbai,No,Yes,Yes,712.01
Zoravar Naidu,"Tallinn, Estonia",No,No,Yes,6593.54
Harsh Bhatt,Unnao,No,No,Yes,1627.01
Abhishek Yadav,"Belo Horizonte, Brazil",No,Yes,Yes,13483.85
Harsh Bhatt,"Rome, Italy",Yes,No,Yes,6781.0
Zoravar Naidu,"Cebu, Philippines",No,No,Yes,5338.59
Madhav Mishra,"Rotterdam, Netherlands",Yes,Yes,Yes,7543.35
Bhuvan Thakur,Leh,No,Yes,Yes,2369.81
Ahaan Kumar,Nainital,No,No,Yes,1885.39
Devansh Goswami,Gandhinagar,No,Yes,Yes,1164.64
Yash Das,"Pretoria, South Africa",Yes,No,Yes,6622.74
Jaya Jha,Mehsana,Yes,No,Yes,1211.58
Farah Kapoor,"Tokyo, Japan",No,No,Yes,6924.93
Leela Nair,"Minneapolis, USA",Yes,No,Yes,13482.98
Vidya Iyer,Leh,Yes,No,Yes,2369.81
Vidya Prasad,Hyderabad,Yes,No,Yes,627.06
Sneha Khan,Kullu,Yes,Yes,Yes,2121.51
